手术名称,手术等级
内镜下声带病损切除术                                                                                ,2
舌病损切除术                                                                                        ,2
喉病损射频消融术                                                                                    ,2
耳廓成形术                                                                                          ,2
鼻中隔软骨移植术                                                                                    ,2
颈动脉探查术                                                                                        ,2
支撑喉镜下喉病损切除术                                                                              ,2
内镜下声带病损射频消融术                                                                            ,2
支撑喉镜下咽部病损切除术                                                                            ,2
鼻内窥镜下上颌骨部分切除术                                                                          ,2
阔筋膜部分切除术                                                                                    ,2
经导管心脏射频消融术(经血管心脏三维射频消融)                                                        ,2
内镜下声带成形术                                                                                    ,2
鳃裂瘘管切除术                                                                                      ,2
颌下腺病损切除术                                                                                    ,2
上鼓室鼓窦切开术                                                                                    ,2
单侧甲状腺部分切除术                                                                                ,2
腭咽成形术                                                                                          ,2
内镜下声带部分切除术                                                                                ,2
颌面局部皮瓣转移术                                                                                  ,2
软腭病损切除术                                                                                      ,2
支撑喉镜下声门病损切除术                                                                            ,2
鼻内窥镜下鼻甲成形术                                                                                ,2
内镜下上颌窦开窗术                                                                                  ,2
鼻内镜下腺样体等离子切除术                                                                          ,2
舌骨部分切除术                                                                                      ,2
鼻部皮肤病损切除术                                                                                  ,2
皮瓣转移术                                                                                          ,2
肌肉转移术                                                                                          ,2
前鼻孔成形术                                                                                        ,2
内镜下鼻内病损切除术                                                                                ,2
扁桃体病损切除术                                                                                    ,2
食管其他修补术                                                                                      ,2
颌下腺切除术                                                                                        ,2
皮瓣预制术                                                                                          ,2
内镜下喉病损射频消融术                                                                              ,2
上颌骨部分切除术                                                                                    ,2
硬腭病损切除术                                                                                      ,2
内镜下扁桃体切除术                                                                                  ,2
鼻内镜下腺样体消融术                                                                                ,2
内镜下声带病损激光切除术                                                                            ,2
鳃裂囊肿切除术                                                                                      ,2
耳前切开引流术                                                                                      ,2
耳前瘘管切除术                                                                                      ,2
唇缺损修复术                                                                                        ,2
外耳道植皮术                                                                                        ,2
单侧甲状腺叶切除术                                                                                  ,2
外耳道病损切除术                                                                                    ,2
耳垂畸形矫正术                                                                                      ,2
内镜下会厌病损激光切除术                                                                            ,2
支撑喉镜下会厌切除术                                                                                ,2
外耳道成形术                                                                                        ,2
声带病损切除术                                                                                      ,2
内镜下鼻甲部分切除术                                                                                ,2
上颌骨病损切除术                                                                                    ,2
硬腭病损广泛切除术                                                                                  ,2
支撑喉镜下鼻咽病损切除术                                                                            ,2
会厌病损切除术                                                                                      ,2
筋膜成形术                                                                                          ,2
内镜下梨状窝病损切除术                                                                              ,2
下咽病损切除术                                                                                      ,2
甲状腺峡部切除术                                                                                    ,2
周围神经松解术                                                                                      ,2
舌系带成形术                                                                                        ,1
唇病损切除术                                                                                        ,1
颈部软组织病损切除术                                                                                ,1
面部病损切除术                                                                                      ,1
茎突截短术                                                                                          ,1
扁桃体切除术                                                                                        ,1
耳廓病损切除术                                                                                      ,1
甲状舌管病损切除术                                                                                  ,1
咽部病损切除术                                                                                      ,1
内镜下鼓膜置管术                                                                                    ,1
内镜下鼻甲射频消融术                                                                                ,1
鼓膜穿刺术                                                                                          ,1
耳前病损切除术                                                                                      ,1
内镜下鼓室成形术                                                                                    ,1
甲状舌管切除术                                                                                      ,1
颈部皮下组织病损切除术                                                                              ,1
鼻内病损切除术                                                                                      ,1
鼻骨折闭合性复位术                                                                                  ,1
皮肤病损切除术                                                                                      ,1
鼓膜切开术伴置管                                                                                    ,1
耳后病损切除术                                                                                      ,1
静脉输液港植入术                                                                                    ,1
鼻前庭病损切除术                                                                                    ,1
扁桃体射频消融术                                                                                    ,0
食管镜食管异物取出术                                                                                ,0
静脉注射化疗药物                                                                                    ,0
气管插管去除                                                                                        ,0
支气管镜下诊断性支气管肺泡灌洗[BAL]                                                                 ,0
电针治疗                                                                                            ,0
扁桃体等离子切除术                                                                                  ,0
经外周静脉穿刺中心静脉置管术                                                                        ,0
气管镜气管异物取出术                                                                                ,0
颌下淋巴结活检术                                                                                    ,0
温针灸治疗                                                                                          ,0
支撑喉镜下舌根部病损切除术                                                                          ,0
鼻内窥镜下电凝止血术                                                                                ,0
内镜下鼻内病损破坏术                                                                                ,0
胃-十二指肠镜检查                                                                                   ,0
睡眠监测                                                                                            ,0
扁桃体切除术后止血                                                                                  ,0
内镜下鼻咽活组织检查                                                                                ,0
鼓室注射                                                                                            ,0
内镜下鼻内病损射频消融术                                                                            ,0
